id;longitude;latitude;healthcare;name;speciality;operator_type;operational_status;addr_full;addr_street;addr_housenumber;addr_postcode;addr_city;addr_province;addr_country
69;-67.52102086;-46.44489800;pharmacy;Aconcagua;;;;;;;;;;Argentina
70;-58.45272398;-34.62792436;pharmacy;Aconcagua;;;;;;;;;;Argentina
71;-65.08159116;-40.80381154;pharmacy;Aconcagua;;;;;Avenida Rio Negro;22;8521;Las Grutas;;Argentina
72;-64.18057700;-31.42356000;hospital;Aconcagua Sanatorio Privado;;private;;Jose Rondeau 455 5000 Córdoba Córdoba;Rondeau;455;5000;Cordoba;Cordoba;Argentina
73;-56.67932164;-36.67479283;pharmacy;Acosta;;;;;;;;;;Argentina
74;-60.70402304;-31.64009766;pharmacy;Acosta;;;;;Suipacha;;3000;Santa Fe;Santa Fe;Argentina
75;-58.43710623;-34.61675288;pharmacy;Acoyte;;;;;Avenida Acoyte;;;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
76;-60.04739723;-26.92406418;pharmacy;Activa;;;;;25 de Mayo;;3534;Machagai;;Argentina
77;-58.48408663;-34.57528676;clinic;Activa Salud;;;;;Avenida Olazabal;;;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
78;-64.21563545;-31.40610753;clinic;Activar;;;;;;;;;;Argentina
79;-71.28708272;-40.13612397;clinic;Activar Salud;applied_kinesiology;;;;Antonio Berni;Km 2218. 1;Q8370;La Vega;;Argentina
80;-58.39984833;-34.60231798;pharmacy;Actron;;;;;;;;;;Argentina
81;-64.19408592;-31.41893394;pharmacy;Actron;;;;;Boulevard San Juan;;;;;Argentina
82;-60.63933900;-32.91189752;pharmacy;Actron;;;;Entre Ríos 869  S2000 CRO  Rosario  Santa Fe;Entre Ríos;869;S2000 CRO;Rosario;Santa Fe;Argentina
83;-58.36164446;-34.61728521;pharmacy;Actron Farmacia;;;;;;;;;;Argentina
84;-58.49238354;-34.59989494;pharmacy;Acuario;;;;;Argerich;3157;;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
85;-55.89586993;-27.38488303;pharmacy;Acuario;;;;;Avenida Cabred;1769;3300;Posadas;;Argentina
86;-71.31675138;-41.13266637;pharmacy;Acuario;;;;;Juan Manuel de Rosas;498;8400;San Carlos de Bariloche;;Argentina
87;-55.11922432;-27.48417983;pharmacy;Acuario;;;;;Santiago del Estero;18;3360;Obera;;Argentina
88;-55.89829070;-27.40090026;pharmacy;Acuario II;;;;;Avenida Rademacher;5695;3300;Posadas;;Argentina
89;-58.21249461;-34.78930877;pharmacy;Acuña Vaqueiro;;;;;;;;;;Argentina
90;-58.68322112;-34.55897985;alternative;Acupuntura;;;;;;;;;;Argentina
91;-60.87287027;-32.90119631;pharmacy;ADA Farmacia;;;;;Avenida Acequias del Aire;787;;;;Argentina
92;-58.25228174;-34.81794705;pharmacy;Adaro;;;;;;;;;;Argentina
93;-58.52776238;-34.63996035;pharmacy;Ade;;;;;;;;;;Argentina
94;-59.64872852;-29.15342520;clinic;Adel;;;;;9 de Julio;1556;S3560;Reconquista;;Argentina
95;-58.46925996;-34.56305907;clinic;Adelgozar;;;;;;;;;;Argentina
96;-55.90021712;-27.36927341;doctor;A-Dental;dentist;;;;Jujuy;2121;;;;Argentina
97;-59.31285317;-33.14798653;pharmacy;Ados;;;;;25 de Mayo;538;2840;Gualeguay;;Argentina
98;-54.04451463;-25.66834805;pharmacy;Adresito;;;;;Avenida Los Pioneros;;3385;Comandante Andresito;;Argentina
99;-64.63834187;-30.78329801;pharmacy;Adrian;;;;;;;;;;Argentina
100;-62.98269698;-40.80147516;pharmacy;Adrian Garnero;;;;;;;;;;Argentina
101;-61.69816855;-33.88545395;clinic;AE_ekilibrium;physiotherapist;;;;;;;;;Argentina
102;-61.36895120;-35.61600096;hospital;Aero Club Carlos Casares;;;;;;;;;;Argentina
103;-58.41246720;-34.57940362;pharmacy;Afharma;;;;;;;;;;Argentina
104;-58.78791980;-34.65237177;pharmacy;Afinidad Social;;;;;Claudio Maria Joly;2597;;;;Argentina
105;-68.85775102;-32.85693568;alternative;Agedrea;;;;;;;;;;Argentina
106;-58.98145853;-27.4514785;doctor;Agencia de empleo;;;;;;;;;;Argentina
107;-64.29512188;-27.38544562;doctor;Agente Sanitario de Huyamampa;;;;;;;;;;Argentina
108;-64.48332218;-31.09031388;pharmacy;Agnessini;;;;;;;;;;Argentina
109;-61.49155565;-33.45821762;pharmacy;Agostinelli;;;;;;;;;;Argentina
110;-58.04269158;-34.86612925;pharmacy;Agostini;;;;;;;;;;Argentina
111;-60.71570104;-31.63504815;pharmacy;Agotegaray;;;;;Avenida Gobernador Freyre;3313;;Santa Fe;Santa Fe;Argentina
112;-57.96033477;-34.9132689;pharmacy;Agrelo;;;;;Calle 43;785;;La Plata;;Argentina
113;-58.78687626;-34.71790015;pharmacy;Aguer;;;;;;;;;;Argentina
114;-64.46248418;-31.23952684;pharmacy;Agüero;;;;;;;;;;Argentina
115;-64.49767476;-31.42316437;pharmacy;Aguilar;;;;;;;;;;Argentina
116;-65.19039011;-31.94826596;pharmacy;Aguilera;;;;;;;;;;Argentina
117;-58.65741718;-34.64643906;pharmacy;Aguirre;;;;;;;;;;Argentina
118;-63.28457432;-33.17700812;pharmacy;Aguirre;;;;;Pedro Pelleschi;;X2671;Santa Eufemia;;Argentina
119;-58.51235753;-27.37139101;pharmacy;Agumar;;;;;San Martin;;3412;San Cosme;;Argentina
120;-65.08993660;-31.31819218;pharmacy;Ahumada;;;;;;;;;;Argentina
121;-58.40813778;-34.78749442;pharmacy;Ahumada;;;;;Avenida Hipolito Yrigoyen;;;;;Argentina
122;-64.25677015;-27.78632657;pharmacy;Aibe;;;;;Avellaneda;396;4200;Santiago del Estero;Santiago del Estero;Argentina
123;-66.27596534;-33.29683556;pharmacy;Aimar;;;;;Avenida del Viento Chorrillero;149;5700;;;Argentina
124;-63.24063965;-32.4107471;pharmacy;Ainstein;;;;;Corrientes;;;;;Argentina
125;-61.57343276;-32.47692198;pharmacy;Aira;;;;;;;;;;Argentina
126;-61.55375917;-30.94354734;pharmacy;Airasca;;;;;Avenida Hipolito Yrigoyen;1180;S2322;Sunchales;Santa Fe;Argentina
127;-55.89267952;-27.35935586;pharmacy;Alarcon;;;;;Moritan;1809;;Posadas;;Argentina
128;-57.99175744;-34.88379184;pharmacy;Alario;;;;;;;;;;Argentina
129;-68.84942427;-32.8841466;pharmacy;Alas;;;;;Avenida Juan Bautista Justo;71;;;;Argentina
130;-65.20854296;-26.81719475;pharmacy;Alba;;;;;Avenida Sarmiento;955;T4000GTJ;San Miguel de Tucumán;Tucumán;Argentina
131;-60.16578868;-35.43331193;pharmacy;Albarracin;;;;;Calle 27;;6660;25 de Mayo;;Argentina
132;-58.99737166;-27.46068142;pharmacy;Alberdi;;;;;;;;;;Argentina
133;-58.79226104;-34.65102053;pharmacy;Alberdi;;;;;;;;;;Argentina
134;-58.75577554;-35.05811607;pharmacy;Alberdi;;;;;;;;;;Argentina
135;-58.23295852;-32.48616135;pharmacy;Alberdi;;;;;;;;;;Argentina
136;-60.68222824;-32.91985527;pharmacy;Alberdi;;;;;Avenida Alberdi;669;;Rosario;;Argentina
137;-58.46736305;-34.62519907;pharmacy;Alberdi;;;;;Avenida Avellaneda;2600;1406;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
138;-58.45855870;-34.63035293;pharmacy;Alberdi;;;;;Avenida Juan Bautista Alberdi;;;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
139;-60.16541040;-26.45465774;hospital;Albergue del Colegio Secundario;;;;;;;;;;Argentina
140;-64.01990091;-33.63289086;pharmacy;Alberti;;;;;Hipolito Yrigoyen;65;;;;Argentina
141;-61.94365136;-29.8797902;pharmacy;Albertinazi;;;;;Avenida de Mayo;267;S2340;Ceres;;Argentina
142;-55.89903451;-27.36651174;pharmacy;Alborada;;;;;Bolivar;;3300;Posadas;;Argentina
143;-61.18796797;-27.22108044;pharmacy;Albrecht;;;;;Junin;499;;Charata;;Argentina
144;-60.93891758;-31.58671784;pharmacy;Albrecht;;;;;Miguel Manfredi;2068;3009;Franck;;Argentina
145;-64.25080743;-32.19509943;pharmacy;Albrerdi;;;;;Alberdi;313;5854;Almafuerte;;Argentina
146;-64.17614613;-31.38974052;pharmacy;Alcion;;;;;;;;;;Argentina
147;-60.58599796;-33.90320808;pharmacy;Alcobendas;;;;;Avenida Ernesto Illia;1798;2700;Pergamino;;Argentina
148;-59.60861650;-38.34551467;pharmacy;Aldaya;;;;;25 de Mayo;470;7521;San Cayetano;;Argentina
149;-58.47523500;-34.83295082;pharmacy;Aldebalde;;;;;;;;;;Argentina
150;-58.48893916;-34.75718051;pharmacy;Ale;;;;;;;;;;Argentina
151;-60.58235586;-33.89476574;pharmacy;Ale;;;;;Boulevard Colon;955;2700;Pergamino;;Argentina
152;-59.09560891;-34.57000675;doctor;Alejandra Savoy;;;;;11 - 25 de Mayo;1829;6700;Lujan;;Argentina
153;-65.23717563;-26.85588393;pharmacy;Alejandro Fleming;;;;;Amador Lucero;2201;T4002LDA;San Miguel de Tucumán;Tucumán;Argentina
154;-60.71150062;-31.64452255;pharmacy;Alejandro Senn;;;;;4 de Enero;2599;3000;Santa Fe;Santa Fe;Argentina
155;-57.91914660;-34.93740761;pharmacy;Aleksi;;;;;Calle 7;2364;;;;Argentina
156;-65.20390718;-26.8411431;pharmacy;Aleli;;;;;Las Heras;702;T4000IDP;San Miguel de Tucumán;Tucumán;Argentina
157;-62.30896278;-31.40261948;pharmacy;Alem;;;;;;;;;;Argentina
158;-62.26155038;-38.71261177;pharmacy;Alem;;;;;Avenida Alem;201;;;;Argentina
159;-65.22210396;-26.8422221;pharmacy;Alem SCS;;;;;Avenida Leandro N. Alem;1021;T4002PDC;San Miguel de Tucumán;Tucumán;Argentina
160;-64.17692732;-31.41927726;pharmacy;Alemana;;;;;;;;;;Argentina
161;-57.71581245;-25.28840283;pharmacy;Aleski;;;;;12 de Octubre;1231;3610;Clorinda;;Argentina
162;-62.00770754;-30.71767718;pharmacy;Alesso;;;;;Boulevard 9 de Julio;1475;2421;Morteros;;Argentina
163;-58.45186081;-34.5717558;clinic;Alexander Fleming;;;;;;;;;;Argentina
164;-59.00104713;-27.46391675;pharmacy;Alexis;;;;;;;;;;Argentina
165;-58.42191897;-34.59784171;pharmacy;Alfa;;;;;Avenida Cordoba;3902;C1188AAS;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
166;-55.92068246;-27.37199124;pharmacy;Alfa;;;;;Avenida Lopez y Planes;4417;3300;Posadas;;Argentina
167;-57.33758912;-27.42651996;pharmacy;ALFA;;;;;San Martin;1109;3480;Ita Ibate;;Argentina
168;-62.27099997;-38.71191138;hospital;Alfa Laboratorio de  Analisis Clinicos;clinical_laboratory;;;;Zelarrayan;589;8000;Bahia Blanca;Provincia de Buenos Aires;Argentina
169;-58.01427668;-35.57504472;pharmacy;Alfonsin;;;;;;;;;;Argentina
170;-58.98197821;-27.47236327;pharmacy;Alfred;;;;;;;;;;Argentina
171;-58.99932984;-27.44263727;pharmacy;Alfredo;;;;;;;;;;Argentina
172;-54.35201263;-27.37917596;pharmacy;Alicia;;;;;Ruta Provincial 221;;;Colonia Alicia;;Argentina
173;-58.44662656;-34.55901866;pharmacy;Alicia Scord;;;;;;;;;;Argentina
174;-58.39744985;-34.77616812;pharmacy;Allegrino;;;;;Avenida Meeks;1277;;;;Argentina
175;-64.48966518;-30.98205456;doctor;Allende Sanatorio Independencio;;;;;;;;;;Argentina
176;-63.52699514;-31.55184661;hospital;Alma Atta;;;;;Santa Fe;1290;5963;Villa del Rosario;;Argentina
177;-60.84712911;-32.91542661;alternative;Alma Sana Funes;acupuncture/aromatherapy/ayurveda/homeopathy/anaesthetics/oncology/psycology/physiotherapist/body;;;;Avenida Cordoba;4584;;;;Argentina
178;-60.59307212;-30.78087907;pharmacy;Almada;;;;;Mantovani;1725;;San Justo;;Argentina
179;-55.23081017;-27.04320271;pharmacy;Almeyer;;;;;Avenida Libertad;301;3328;Jardin America;;Argentina
180;-63.28339323;-33.17700401;pharmacy;Alonso;;;;;;;;;;Argentina
181;-58.72587201;-34.66515837;pharmacy;Alonso;;;;;;;;;;Argentina
182;-57.97131666;-34.95026604;pharmacy;Alonso;;;;;;;;;;Argentina
183;-57.95290908;-34.90636783;pharmacy;Aloy;;;;;Calle 43;439;;;;Argentina
184;-58.46702711;-34.63297295;pharmacy;Alpi;;;;;Avenida Juan Bautista Alberdi;;;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
185;-58.98398618;-27.47470191;pharmacy;Alquimia;;;;;;;;;;Argentina
186;-60.04885258;-26.93044993;pharmacy;Alquimia;;;;;Uruguay;399;3534;Machagai;;Argentina
187;-58.36687066;-34.66470097;pharmacy;Alsina;;;;;;;;;;Argentina
188;-62.25653306;-38.71197491;pharmacy;Alsina;;;;;Alsina;702;;;;Argentina
189;-59.39792907;-32.17528561;pharmacy;Alsino;;;;;Gualeguaychu;;3177;Macia;;Argentina
190;-58.81284004;-27.50817638;pharmacy;Alta Gracia;;;;;Alta Gracia;;3400;Corrientes;Corrientes;Argentina
191;-55.91287555;-27.39465063;pharmacy;Alta Gracia;;;;;Avenida Santa Catalina;5188;3300;Posadas;;Argentina
192;-58.45184304;-34.56357431;clinic;Alta Odontologia;dentist;;;;La Pampa;2132;1428;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
193;-65.50230101;-27.16078128;pharmacy;Althea;;;;;24 de Septiembre;825;T4142ACQ;Monteros;;Argentina
194;-62.46253006;-31.94068226;pharmacy;Altina;;;;;Boulevard Buenos Aires;440;5949;Alicia;;Argentina
195;-58.50453244;-34.85604355;pharmacy;Alto Canning;;;;;;;;;;Argentina
196;-64.27183553;-31.32047122;pharmacy;Altos de Argüello;;;;;;;;;;Argentina
197;-58.79020085;-34.64660921;pharmacy;Altos de Moreno;;;;;;;;;;Argentina
198;-58.0664588;-34.89559071;pharmacy;Altos del Golf;;;;;Calle 467;;;;;Argentina
199;-64.32343712;-23.13422094;pharmacy;Alvarado;;;;;Alvarado;574;4530;San Ramon de la Nueva Oran;;Argentina
200;-64.26495172;-27.78567873;pharmacy;Alvarado;;;;;Avenida Belgrano Sur;111;4200;Santiago del Estero;Santiago del Estero;Argentina
201;-65.19659942;-31.94318141;pharmacy;Alvarez;;;;;;;;;;Argentina
202;-61.89849327;-35.81177732;pharmacy;Alvarez;;;;;;;;;;Argentina
203;-58.35542961;-34.76762286;pharmacy;Alvarez;;;;;;;;;;Argentina
204;-58.41798426;-34.81106593;pharmacy;Alvarez;;;;;Capitan de Fragata Moyano;1315;;;;Argentina
205;-62.69589817;-38.82760503;pharmacy;Alvarez Correa;;;;;;;;;;Argentina
206;-64.29996821;-31.06463508;pharmacy;Alvear;;;;;;;;;;Argentina
207;-64.27272275;-31.01913518;pharmacy;Alvear;;;;;;;;;;Argentina
208;-58.54473506;-34.61826388;pharmacy;Alvear;;;;;;;;;;Argentina
209;-56.54764496;-29.09340692;pharmacy;Alvear;;;;;Lavalle;;3344;Alvear;;Argentina
210;-65.26804626;-26.81496021;pharmacy;Alvez;;;;;Salas y Valdez;243;T4107BWE;Yerba Buena;Tucumán;Argentina
211;-59.0985875;-35.18290274;pharmacy;Amadei;;;;;General Manuel Belgrano;344;7240;Lobos;;Argentina
212;-58.78858264;-34.64559978;clinic;Amadeus;dentist;;;;España;406;;;;Argentina
213;-66.34099877;-33.29375772;doctor;Amalia Guillermina Gimenez de Domeniconi;dentist;;;;;;;;;Argentina
214;-54.60630624;-26.02234591;pharmacy;Amambay;;;;;Avenida 20 de Junio;595;3378;Puerto Esperanza;;Argentina
215;-58.55756717;-34.65675207;pharmacy;Amanatto;;;;;Humboldt;502;1704;Ramos Mejia;;Argentina
216;-68.84981085;-32.92272934;clinic;Amano Sanatorio Privado;;;;;Coronel Beltran;95;;;;Argentina
217;-68.51620381;-31.53235542;clinic;Amasalud;;;;;;;;;;Argentina
218;-64.53890836;-32.07062456;pharmacy;Amate;;;;;;;;;;Argentina
219;-64.18016207;-31.42223766;pharmacy;Amazonas 2;;;;;;;;;;Argentina
220;-55.89825022;-27.37061644;clinic;ambar Casa de Salud;;;;;Junin;2227;3300;Posadas;;Argentina
221;-58.56739713;-34.67123558;clinic;Ambulancia Jefatura Provincial;;public;;;;;1754;;;Argentina
222;-57.96997924;-34.91304175;hospital;Ambulancias La Plata;;;;;Avenida 38;986;1900;La Plata;;Argentina
223;-58.94929365;-27.48315657;pharmacy;Ameb;;;;;;;;;;Argentina
224;-61.19067181;-27.21775961;pharmacy;Ameb;;;;;Avenida Güemes;;;;;Argentina
225;-68.8364288;-32.88762643;pharmacy;AMECOM;;;;;Buenos Aires;133;;Mendoza;;Argentina
226;-60.21864396;-33.33038253;pharmacy;Amefarma;;;;;;;;;;Argentina
227;-65.20672426;-26.8206387;pharmacy;America;;;;;Junin;691;T4000IOM;San Miguel de Tucumán;Tucumán;Argentina
228;-65.23514302;-26.81230583;pharmacy;America II;;;;;Avenida Belgrano;2696;T4000GVZ;San Miguel de Tucumán;Tucumán;Argentina
229;-65.19424721;-26.82143071;pharmacy;America IV;;;;;Avenida Avellaneda;801;T4000HXI;San Miguel de Tucumán;Tucumán;Argentina
230;-55.09973732;-27.47727867;pharmacy;America Salud;;;;;Avenida de Las Americas;1096;;Obera;;Argentina
231;-65.25589795;-26.80796552;pharmacy;America V;;;;;Avenida Belgrano;4302;T4000GXQ;San Miguel de Tucumán;Tucumán;Argentina
232;-65.28959102;-26.80185586;pharmacy;America VII;;;;;Avenida Juan Domingo Peron;1491;T4107DVB;Yerba Buena;Tucumán;Argentina
233;-64.48602643;-31.09163897;pharmacy;Americana;;;;;;;;;;Argentina
234;-64.48444267;-31.11636475;pharmacy;Americana;;;;;;;;;;Argentina
235;-64.48431116;-31.11304325;pharmacy;Americana;;;;;;;;;;Argentina
236;-58.9765205;-27.4424724;pharmacy;Americana;;;;;;;;;;Argentina
237;-65.24589867;-26.80081567;pharmacy;Americana;;;;;Avenida America;1555;T4001NHG;San Miguel de Tucumán;Tucumán;Argentina
238;-54.75139246;-26.56987303;pharmacy;Americana;;;;;Avenida El Libertador;2860;3384;Montecarlo;;Argentina
239;-54.66518526;-26.40715598;pharmacy;Americana;;;;;Avenida San Martin Oeste;2227;3380;Eldorado;;Argentina
240;-57.95562473;-34.90215442;pharmacy;Americana;;;;;Diagonal 74;718;1900;La Plata;;Argentina
241;-69.47254745;-31.64785092;pharmacy;AMFA;;;;;;;;;;Argentina
242;-60.71574513;-31.64466085;pharmacy;Amherdt;;;;;Saavedra;2499;3000;Santa Fe;Santa Fe;Argentina
243;-58.44866982;-34.55712293;doctor;Amiba;;;;;Juramento;1579B;;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
244;-58.75051942;-34.58690634;pharmacy;Amit;;;;;;;;;;Argentina
245;-60.0473979;-26.9270281;pharmacy;AMMACH;;;;;Uruguay;45;3534;Machagai;;Argentina
246;-57.56654357;-38.02228367;pharmacy;AMOF;;;;;Avenida Juan B. Justo;2685;7600;;;Argentina
247;-58.72009244;-34.4944542;pharmacy;Amoriello;;;;;Avenida El Callao;600;1615;Grand Bourg;;Argentina
248;-64.25616271;-27.78731287;pharmacy;Ampina;;;;;9 de Julio;358;4200;Santiago del Estero;Santiago del Estero;Argentina
249;-68.84117766;-32.89573257;pharmacy;AMPROMEN;;;;;Infanta Mercedes de San Martin;34;;Mendoza;;Argentina
250;-61.49052568;-31.25262222;pharmacy;Amur;;;;;;;;;;Argentina
251;-60.70706458;-31.6518314;pharmacy;Amur;;;;;25 de Mayo;2091;3000;Santa Fe;Santa Fe;Argentina
252;-58.51634396;-33.00891374;pharmacy;AMUR;;;;;Urquiza;865;2820;Gualeguaychu;;Argentina
253;-61.60503974;-34.00163727;clinic;AMUR;;;;;;12;2607;Villa Cañas;;Argentina
254;-55.8960928;-27.36306485;pharmacy;AMUSAP;;;;;Ayacucho;1401;3300;;;Argentina
255;-58.71406342;-34.54438537;pharmacy;Ana;;;;;;;;;;Argentina
256;-55.91131844;-27.40459542;pharmacy;Anahi;;;;;Avenida Cocomarola;6308;3300;Posadas;;Argentina
